Unnamed: 0,product_name,link, product_images,price,details
14,WIDE FIT JEANS,https://www.zara.com/in/en/wide-fit-jeans-p09794300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/9794/300/716/2/w/0/9794300716_1_1_1.jpg?ts=1692188212552': 'Image 0 of WIDE FIT JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/9794/300/716/2/w/0/9794300716_2_1_1.jpg?ts=1692188212176': 'Image 1 of WIDE FIT JEANS from Zara'}]","₹ 4,990.00",Faded wide fit jeans. Five pockets. Front zip fly and button fastening.
15,STRAIGHT FIT SPRAY JEANS,https://www.zara.com/in/en/straight-fit-spray-jeans-p05585311.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9794/302/716/33/w/0/9794302716_1_1_1.jpg?ts=1692688915062': 'Image 0 of STRAIGHT FIT SPRAY JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5585/311/400/2/w/448/5585311400_6_1_1.jpg?ts=1692696040462': 'Image 1 of STRAIGHT FIT SPRAY JEANS from Zara'}]","₹ 4,990.00",Straight-fit jeans with a five-pocket design. Faded effect with trims in a contrast colour. Front zip fly and top button fastening.
16,WIDE FIT CARGO JEANS,https://www.zara.com/in/en/wide-fit-cargo-jeans-p01538316.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1538/316/445/32/w/448/1538316445_1_1_1.jpg?ts=1692187656109': 'Image 0 of WIDE FIT CARGO JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1538/316/445/2/w/448/1538316445_6_1_1.jpg?ts=1690904502960': 'Image 1 of WIDE FIT CARGO JEANS from Zara'}]","₹ 4,990.00",Wide fit jeans. Five pockets. Patch pockets with flaps on the legs. Adjustable strap in the same fabric on the leg. Faded effect. Irregular hems. Front zip and button fastening.
17,DETACHABLE CARGO JEANS,https://www.zara.com/in/en/detachable-cargo-jeans-p08062300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8062/300/445/2/w/0/8062300445_1_1_1.jpg?ts=1692025125925': 'Image 0 of DETACHABLE CARGO JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8062/300/445/2/w/448/8062300445_2_1_1.jpg?ts=1692025126120': 'Image 1 of DETACHABLE CARGO JEANS from Zara'}]","₹ 5,990.00",Loose fit jeans. Adjustable waistband with side tabs. Multifunctional strap details on the front and back. Five pockets. Patch pockets with flaps on the legs. Detachable legs with invisible zip. Faded effect. Adjustable hems with zip. Front zip and button fastening.View more
18,RELAXED FIT JEANS,https://www.zara.com/in/en/relaxed-fit-jeans-p03175311.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3175/311/707/2/w/448/3175311707_1_1_1.jpg?ts=1692025126252': 'Image 0 of RELAXED FIT JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3175/311/707/2/w/448/3175311707_2_1_1.jpg?ts=1692025126717': 'Image 1 of RELAXED FIT JEANS from Zara'}]","₹ 4,990.00",Relaxed fit jeans. Five pockets. Zipped pockets on the legs. Faded effect. Front zip fly and button fastening.
0,FLORAL JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/floral-jacquard-bermuda-shorts-p07484306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/7484/306/710/2/w/448/7484306710_1_1_1.jpg?ts=1692021899343': 'Image 0 of FLORAL JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/7484/306/710/2/w/448/7484306710_2_1_1.jpg?ts=1692021898413': 'Image 1 of FLORAL JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Bermuda shorts with an elasticated waistband. Front pockets and back patch pocket detail.
1,JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/jacquard-bermuda-shorts-p02795312.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2795/312/529/2/w/448/2795312529_1_1_1.jpg?ts=1689148214471': 'Image 0 of JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2795/312/529/2/w/448/2795312529_2_1_1.jpg?ts=1689148215152': 'Image 1 of JACQUARD BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Bermuda shorts with an adjustable elasticated waistband. Front pockets and back pocket detail.
2,SHORT JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/short-jacquard-bermuda-shorts-p05862304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5862/304/251/2/w/448/5862304251_1_1_1.jpg?ts=1691079126778': 'Image 0 of SHORT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5862/304/251/2/w/448/5862304251_2_1_1.jpg?ts=1691079127311': 'Image 1 of SHORT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Short Bermuda shorts made of a cotton blend fabric. Adjustable elasticated waistband with inner drawstring. Front hip pockets and rear patch pocket detail.
3,GEOMETRIC PRINT JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/geometric-print-jacquard-bermuda-shorts-p06085355.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6085/355/712/2/w/448/6085355712_1_1_1.jpg?ts=1691079127704': 'Image 0 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6085/355/712/2/w/448/6085355712_2_1_1.jpg?ts=1691078951484': 'Image 1 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00","Short Bermuda shorts made of a cotton blend. Featuring an elasticated waistband with adjustable drawstring, front hip pockets and back welt pockets."
5,ABSTRACT JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/abstract-jacquard-bermuda-shorts-p02675306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2675/306/527/2/w/448/2675306527_1_1_1.jpg?ts=1689756839360': 'Image 0 of ABSTRACT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2675/306/527/2/w/448/2675306527_2_1_1.jpg?ts=1689756835587': 'Image 1 of ABSTRACT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Bermuda shorts made of compact fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.
6,GEOMETRIC PRINT JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/geometric-print-jacquard-bermuda-shorts-p07563455.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7563/455/800/4/w/448/7563455800_1_1_1.jpg?ts=1687345452542': 'Image 0 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7563/455/800/4/w/448/7563455800_2_3_1.jpg?ts=1687345451294': 'Image 1 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Relaxed-fit Bermuda shorts made of a viscose and cotton blend. An adjustable elasticated waistband with drawstring. Side pockets and back welt pockets.
7,STRIPED TEXTURED BERMUDA SHORTS,https://www.zara.com/in/en/striped-textured-bermuda-shorts-p02675302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2675/302/707/2/w/448/2675302707_1_1_1.jpg?ts=1689256345699': 'Image 0 of STRIPED TEXTURED BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2675/302/707/2/w/448/2675302707_2_1_1.jpg?ts=1689256346283': 'Image 1 of STRIPED TEXTURED BERMUDA SHORTS from Zara'}]","₹ 3,290.00","Short Bermuda shorts made of a cotton blend. Featuring an elasticated waistband with adjustable drawstring, side hip pockets and back pocket details."
9,STRIPED CROCHET BERMUDA SHORTS,https://www.zara.com/in/en/striped-crochet-bermuda-shorts-p03992378.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/378/064/2/w/448/3992378064_1_1_1.jpg?ts=1692779599359': 'Image 0 of STRIPED CROCHET BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/378/064/2/w/448/3992378064_2_1_1.jpg?ts=1692779599546': 'Image 1 of STRIPED CROCHET BERMUDA SHORTS from Zara'}]","₹ 3,990.00","Bermuda shorts made of an open textured fabric. Waistband with drawstrings, front pockets and back patch pocket detail."
10,STRIPED BERMUDA SHORTS,https://www.zara.com/in/en/striped-bermuda-shorts-p05783037.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5783/037/401/2/w/448/5783037401_6_1_1.jpg?ts=1688642265006': 'Image 0 of STRIPED BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5783/037/401/2/w/448/5783037401_6_2_1.jpg?ts=1688642261978': 'Image 1 of STRIPED BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Bermuda shorts made of a cotton blend fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.
12,COMFORT BERMUDA SHORTS,https://www.zara.com/in/en/comfort-bermuda-shorts-p00706450.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0706/450/251/2/w/448/0706450251_1_1_1.jpg?ts=1689069380172': 'Image 0 of COMFORT BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0706/450/251/2/w/448/0706450251_2_1_1.jpg?ts=1689069378347': 'Image 1 of COMFORT BERMUDA SHORTS from Zara'}]","₹ 2,590.00",Bermuda shorts featuring an adjustable elasticated waistband with drawstrings. Front pleats. Front pockets and rear welt pockets. Turn-up hems.
19,PREMIUM BERMUDA JOGGERS,https://www.zara.com/in/en/premium-bermuda-joggers-p00761439.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/439/401/2/w/448/0761439401_1_1_1.jpg?ts=1692951282737': 'Image 0 of PREMIUM BERMUDA JOGGERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/439/401/2/w/448/0761439401_2_1_1.jpg?ts=1692951286401': 'Image 1 of PREMIUM BERMUDA JOGGERS from Zara'}]","₹ 2,590.00","Bermuda shorts featuring an elastic waistband with adjustable drawstrings, front pockets and rear pocket detail."
27,SOFT DENIM BERMUDA SHORTS,https://www.zara.com/in/en/soft-denim-bermuda-shorts-p01187444.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/1187/444/406/2/w/448/1187444406_1_1_1.jpg?ts=1679481016312': 'Image 0 of SOFT DENIM BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/1187/444/406/2/w/448/1187444406_2_1_1.jpg?ts=1679481011218': 'Image 1 of SOFT DENIM BERMUDA SHORTS from Zara'}]","₹ 2,590.00",Slim fit Bermuda shorts. Adjustable elasticated waistband with drawstring. Five pockets. Faded effect. Turn-up hems.
31,CREASED-EFFECT BERMUDA SHORTS,https://www.zara.com/in/en/creased-effect-bermuda-shorts-p06103310.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/6103/330/250/2/w/448/6103330250_1_1_1.jpg?ts=1683041313010': 'Image 0 of CREASED-EFFECT BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/6103/330/250/2/w/448/6103330250_2_1_1.jpg?ts=1683041309431': 'Image 1 of CREASED-EFFECT BERMUDA SHORTS from Zara'}]","₹ 2,590.00",Bermuda shorts made of cotton. Adjustable elasticated waistband with drawstring. Side pockets and rear patch pocket detail.
34,COTTON-LINEN BERMUDA SHORTS,https://www.zara.com/in/en/cotton-linen-bermuda-shorts-p04365300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4365/300/251/2/w/448/4365300251_1_1_1.jpg?ts=1688714833709': 'Image 0 of COTTON-LINEN BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4365/300/251/2/w/448/4365300251_2_1_1.jpg?ts=1688714834336': 'Image 1 of COTTON-LINEN BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Relaxed fit Bermuda shorts made of a linen and cotton blend fabric. Adjustable elasticated waistband with drawstring. Side pockets and rear patch pocket detail. Irregular hem.
38,SEERSUCKER BERMUDA SHORTS WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/seersucker-bermuda-shorts-with-contrast-topstitching-p03268302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3268/302/403/2/w/448/3268302403_1_1_1.jpg?ts=1691503022118': 'Image 0 of SEERSUCKER BERMUDA SHORTS WITH CONTRAST TOPSTITCHING from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3268/302/403/2/w/448/3268302403_2_1_1.jpg?ts=1691503021437': 'Image 1 of SEERSUCKER BERMUDA SHORTS WITH CONTRAST TOPSTITCHING from Zara'}]","₹ 3,290.00",Relaxed-fit Bermuda shorts with an adjustable elasticated waistband with drawstrings. Front pockets and back patch pockets. Contrast topstitching all over the garment.
39,VINTAGE DENIM BERMUDA SHORTS,https://www.zara.com/in/en/vintage-denim-bermuda-shorts-p00621300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0621/300/400/2/w/448/0621300400_1_1_1.jpg?ts=1688552338463': 'Image 0 of VINTAGE DENIM BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0621/300/400/2/w/448/0621300400_2_1_1.jpg?ts=1688552339557': 'Image 1 of VINTAGE DENIM BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Relaxed fit Bermuda shorts. Five pockets. Vintage fade effect. Front zip fly and button fastening.
43,100% LINEN BERMUDA SHORTS,https://www.zara.com/in/en/100-linen-bermuda-shorts-p01538403.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/1538/403/052/2/w/448/1538403052_1_1_1.jpg?ts=1678189945192': 'Image 0 of 100% LINEN BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/1538/403/052/2/w/448/1538403052_2_1_1.jpg?ts=1678189945379': 'Image 1 of 100% LINEN BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Bermuda shorts made of linen fabric. Front pockets and back welt pockets. Front zip fly and top button fastening.
49,TECHNICAL CARGO BERMUDA SHORTS,https://www.zara.com/in/en/technical-cargo-bermuda-shorts-p01538440.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1538/440/403/2/w/448/1538440403_1_1_1.jpg?ts=1687966281880': 'Image 0 of TECHNICAL CARGO BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1538/440/403/2/w/448/1538440403_2_1_1.jpg?ts=1687966281313': 'Image 1 of TECHNICAL CARGO BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Bermuda shorts made of a technical fabric. Adjustable elasticated waistband with drawstring. Front pockets and back welt pockets. Patch pockets with flaps on the legs. Side slits at the hem.
53,COTTON CARGO BERMUDA SHORTS,https://www.zara.com/in/en/cotton-cargo-bermuda-shorts-p02553302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2553/302/800/2/w/448/2553302800_1_1_1.jpg?ts=1689940496243': 'Image 0 of COTTON CARGO BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2553/302/800/2/w/448/2553302800_2_1_1.jpg?ts=1689940496601': 'Image 1 of COTTON CARGO BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Relaxed fit Bermuda shorts made of cotton fabric. Elastic waist. Front pockets and rear patch pocket detail. Patch pocket with flap appliqué on the leg. Front zip fly and snap-button fastening.
57,BASIC DENIM BERMUDA SHORTS,https://www.zara.com/in/en/basic-denim-bermuda-shorts-p01538422.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/1538/422/400/2/w/448/1538422400_1_1_1.jpg?ts=1676453815756': 'Image 0 of BASIC DENIM BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/1538/422/400/2/w/448/1538422400_2_1_1.jpg?ts=1676453810582': 'Image 1 of BASIC DENIM BERMUDA SHORTS from Zara'}]","₹ 2,590.00",Straight fit Bermuda shorts with a five-pocket design and front zip fly and top button fastening.
63,LINEN - COTTON BERMUDA SHORTS,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p08574349.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8574/349/707/2/w/448/8574349707_1_1_1.jpg?ts=1687937159892': 'Image 0 of LINEN - COTTON BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8574/349/707/2/w/448/8574349707_2_1_1.jpg?ts=1687937159668': 'Image 1 of LINEN - COTTON BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Carrot fit Bermuda shorts made of a linen and cotton blend fabric. Adjustable elasticated waistband and front pleat details. Side pockets and rear welt pocket detail.
68,TEXTURED JOGGER BERMUDA SHORTS,https://www.zara.com/in/en/textured-jogger-bermuda-shorts-p00962321.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0962/321/710/2/w/448/0962321710_1_1_1.jpg?ts=1689926675546': 'Image 0 of TEXTURED JOGGER BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0962/321/710/2/w/448/0962321710_2_1_1.jpg?ts=1689926676418': 'Image 1 of TEXTURED JOGGER BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Relaxed-fit Bermuda shorts made of a textured fabric. Adjustable elasticated waistband with drawstring. Side pockets and back patch pocket detail.
69,STAR PRINT BERMUDA SHORTS,https://www.zara.com/in/en/star-print-bermuda-shorts-p05852261.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5852/261/027/2/w/448/5852261027_1_1_1.jpg?ts=1687445757984': 'Image 0 of STAR PRINT BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5852/261/027/2/w/448/5852261027_2_1_1.jpg?ts=1687445760186': 'Image 1 of STAR PRINT BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Relaxed fit Bermuda shorts made of satiny fabric. Elasticated adjustable drawstring waistband. Side pockets. Hem with contrast stripes.
73,STRIPE PRINT BERMUDA SHORTS,https://www.zara.com/in/en/stripe-print-bermuda-shorts-p06085307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6085/307/250/2/w/448/6085307250_1_1_1.jpg?ts=1689087950377': 'Image 0 of STRIPE PRINT BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6085/307/250/2/w/448/6085307250_2_1_1.jpg?ts=1689087951498': 'Image 1 of STRIPE PRINT BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Relaxed-fit Bermuda shorts made of a satiny fabric. Adjustable elasticated waistband with an inner drawstring. Side pockets.
77,CARPENTER BERMUDA SHORTS WITH POCKET,https://www.zara.com/in/en/carpenter-bermuda-shorts-with-pocket-p08727325.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8727/325/400/2/w/448/8727325400_1_1_1.jpg?ts=1691072087552': 'Image 0 of CARPENTER BERMUDA SHORTS WITH POCKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8727/325/400/2/w/448/8727325400_2_1_1.jpg?ts=1691072087577': 'Image 1 of CARPENTER BERMUDA SHORTS WITH POCKET from Zara'}]","₹ 2,990.00",Relaxed fit Bermuda shorts. Front pockets and rear patch pockets. Faded effect. Contrast topstitching all over the garment. Patch pocket appliqué and multipurpose strap on the leg. Front zip fly and button fastening.View more
78,LOOSE-FIT CARGO BERMUDA SHORTS,https://www.zara.com/in/en/loose-fit-cargo-bermuda-shorts-p03175407.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3175/407/407/2/w/448/3175407407_1_1_1.jpg?ts=1690361440953': 'Image 0 of LOOSE-FIT CARGO BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3175/407/407/2/w/448/3175407407_2_1_1.jpg?ts=1690361441154': 'Image 1 of LOOSE-FIT CARGO BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Loose fit Bermuda shorts. Five-pocket design. Faded effect. Patch pockets with flaps on the legs. Front zip fly and top button fastening.
79,ACID WASH CARGO BERMUDA SHORTS,https://www.zara.com/in/en/acid-wash-cargo-bermuda-shorts-p07627316.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7627/316/800/2/w/448/7627316800_1_1_1.jpg?ts=1687256307063': 'Image 0 of ACID WASH CARGO BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7627/316/800/2/w/448/7627316800_2_1_1.jpg?ts=1687256312780': 'Image 1 of ACID WASH CARGO BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Relaxed fit Bermuda shorts. Front pockets and rear patch pockets. Patch pocket appliqués with flaps on the legs. Faded effect. Front zip fly and button fastening.
80,DENIM UTILITY BERMUDA SHORTS,https://www.zara.com/in/en/denim-utility-bermuda-shorts-p05575376.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5575/376/445/2/w/448/5575376445_1_1_1.jpg?ts=1688716941073': 'Image 0 of DENIM UTILITY BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5575/376/445/2/w/448/5575376445_2_1_1.jpg?ts=1688552338826': 'Image 1 of DENIM UTILITY BERMUDA SHORTS from Zara'}]","₹ 4,990.00",Relaxed fit faded Bermuda shorts. Front pockets and rear patch pockets. Multipurpose pockets on the front and legs. Front zip fly and button fastening.
82,DENIM CARGO BERMUDA SHORTS,https://www.zara.com/in/en/denim-cargo-bermuda-shorts-p08062301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8062/301/427/2/w/448/8062301427_1_1_1.jpg?ts=1685698726468': 'Image 0 of DENIM CARGO BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8062/301/427/2/w/448/8062301427_2_1_1.jpg?ts=1685698726197': 'Image 1 of DENIM CARGO BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Faded relaxed fit Bermuda shorts. Front pockets and pockets at the rear. Patch pockets with flaps on the legs. Zip fly and top button fastening.
